year,iso3_code,fao_area_code,GFWCategory,total_catch_gfw_cat,total_f_hours,total_hours,total_days,n_vessel,effort_type,effort,slope,slope_log,effort_moment
2017,TWN,77,drifting_longlines,22017.2790456636,406776.9177777778,549623.0777777778,20737,145,total_f_hours_tonnage,146252073.83174583,6642.604362165761,3.822338386350161,359.538772825953
2017,TWN,77,drifting_longlines,22017.2790456636,406776.9177777778,549623.0777777778,20737,145,total_f_hours_kw,328785359.5225872,14933.060476759634,4.1741488239311435,808.2694596309483
2017,TZA,51,drifting_longlines,4186.242476072888,3505.23916666667,4967.122500000005,189,1,total_f_hours_length,196924.33638333352,47.04083375697533,1.6724750106200528,56.18
2017,TZA,51,drifting_longlines,4186.242476072888,3505.23916666667,4967.122500000005,189,1,total_f_hours_tonnage,1728082.9091666683,412.8004813490359,2.6157401950317234,493
2017,TZA,51,drifting_longlines,4186.242476072888,3505.23916666667,4967.122500000005,189,1,total_f_hours_kw,2769245.6509790984,661.5110488241298,2.8205371023455577,790.030442805
2017,TZA,51,driftnets,3174.292513015926,NA,NA,NA,NA,total_f_hours_length,NA,NA,NA,NA
2017,TZA,51,driftnets,3174.292513015926,NA,NA,NA,NA,total_f_hours_tonnage,NA,NA,NA,NA
2017,TZA,51,driftnets,3174.292513015926,NA,NA,NA,NA,total_f_hours_kw,NA,NA,NA,NA
2017,TZA,51,pole_and_line,652.475219054518,NA,NA,NA,NA,total_f_hours_length,NA,NA,NA,NA
2017,TZA,51,pole_and_line,652.475219054518,NA,NA,NA,NA,total_f_hours_tonnage,NA,NA,NA,NA
2017,TZA,51,pole_and_line,652.475219054518,NA,NA,NA,NA,total_f_hours_kw,NA,NA,NA,NA
2017,UKR,34,trawlers,12250.284455294299,NA,NA,NA,NA,total_f_hours_length,NA,NA,NA,NA
2017,UKR,34,trawlers,12250.284455294299,NA,NA,NA,NA,total_f_hours_tonnage,NA,NA,NA,NA
2017,UKR,34,trawlers,12250.284455294299,NA,NA,NA,NA,total_f_hours_kw,NA,NA,NA,NA
2017,UKR,37,dredge_fishing,27593.96834172915,NA,NA,NA,NA,total_f_hours_length,NA,NA,NA,NA
2017,UKR,37,dredge_fishing,27593.96834172915,NA,NA,NA,NA,total_f_hours_tonnage,NA,NA,NA,NA
2017,UKR,37,dredge_fishing,27593.96834172915,NA,NA,NA,NA,total_f_hours_kw,NA,NA,NA,NA
2017,UKR,37,driftnets,39.6375,NA,NA,NA,NA,total_f_hours_length,NA,NA,NA,NA
2017,UKR,37,driftnets,39.6375,NA,NA,NA,NA,total_f_hours_tonnage,NA,NA,NA,NA
2017,UKR,37,driftnets,39.6375,NA,NA,NA,NA,total_f_hours_kw,NA,NA,NA,NA
2017,UKR,37,pots_and_traps,971.9415220281302,NA,NA,NA,NA,total_f_hours_length,NA,NA,NA,NA
2017,UKR,37,pots_and_traps,971.9415220281302,NA,NA,NA,NA,total_f_hours_tonnage,NA,NA,NA,NA
2017,UKR,37,pots_and_traps,971.9415220281302,NA,NA,NA,NA,total_f_hours_kw,NA,NA,NA,NA
2017,UKR,37,seiners,15749.977718009686,NA,NA,NA,NA,total_f_hours_length,NA,NA,NA,NA
2017,UKR,37,seiners,15749.977718009686,NA,NA,NA,NA,total_f_hours_tonnage,NA,NA,NA,NA
2017,UKR,37,seiners,15749.977718009686,NA,NA,NA,NA,total_f_hours_kw,NA,NA,NA,NA
2017,UKR,37,set_gillnets,357.2394945848376,NA,NA,NA,NA,total_f_hours_length,NA,NA,NA,NA
2017,UKR,37,set_gillnets,357.2394945848376,NA,NA,NA,NA,total_f_hours_tonnage,NA,NA,NA,NA
2017,UKR,37,set_gillnets,357.2394945848376,NA,NA,NA,NA,total_f_hours_kw,NA,NA,NA,NA
2017,UKR,37,trawlers,2490.329975737705,5709.814444444446,12284.674166666668,516,5,total_f_hours_length,258813.715700631,103.92747877676861,2.0167303916698023,45.32786804524837
2017,UKR,37,trawlers,2490.329975737705,5709.814444444446,12284.674166666668,516,5,total_f_hours_tonnage,3900857.686864303,1566.401932622909,3.1949032102908728,683.1846682267884
2017,UKR,37,trawlers,2490.329975737705,5709.814444444446,12284.674166666668,516,5,total_f_hours_kw,2439032.363462128,979.4012790371762,2.9909606668441606,427.16490828091025
2017,UKR,41,set_longlines,270.6960802469136,6129.210833333334,12589.088055555556,448,4,total_f_hours_length,331407.37294861116,1224.2784330172797,3.087880198995436,54.07015388445648
2017,UKR,41,set_longlines,270.6960802469136,6129.210833333334,12589.088055555556,448,4,total_f_hours_tonnage,5531660.906666667,20434.950153770234,4.31037358269019,902.5078524927012
2017,UKR,41,set_longlines,270.6960802469136,6129.210833333334,12589.088055555556,448,4,total_f_hours_kw,5433304.4488888895,20071.603711191303,4.302582073787729,886.4606874575433
2017,UKR,48,trawlers,9043.231360456553,2281.5572222222218,2979.0400000000013,113,1,total_f_hours_length,235000.39388888885,25.986329943572816,1.4147449483043322,103
2017,UKR,48,trawlers,9043.231360456553,2281.5572222222218,2979.0400000000013,113,1,total_f_hours_tonnage,14585995.321666664,1612.9185177598154,3.2076124280330243,6393
2017,UKR,48,trawlers,9043.231360456553,2281.5572222222218,2979.0400000000013,113,1,total_f_hours_kw,11868660.669999998,1312.435809383163,3.118078071459014,5202
2017,UKR,88,set_longlines,304.8632967032967,2183.9475000000048,5322.918333333337,152,4,total_f_hours_length,119310.96624722249,391.35890590115855,2.592575221226608,54.63087654223475
2017,UKR,88,set_longlines,304.8632967032967,2183.9475000000048,5322.918333333337,152,4,total_f_hours_tonnage,1944074.357777782,6376.872450047081,3.804607730332917,890.165334916603
2017,UKR,88,set_longlines,304.8632967032967,2183.9475000000048,5322.918333333337,152,4,total_f_hours_kw,2069807.3344444488,6789.296569402565,3.831824779898712,947.7367631064594
